UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
133155,"R",327,"R",0,"R",327,"R",221,"R",324,"R",2,"Z",0,"R",1,"R",73,"Z",0,"R",73,"R",73,"R",0,"Z",0,"R",0,"R",0,"R",254,"Z",0,"R",254,"R",251
134024,"R",78,"R",0,"R",78,"R",0,"R",40,"R",0,"R",0,"R",38,"R",55,"Z",0,"R",55,"R",24,"R",10,"Z",0,"R",10,"R",3,"R",13,"Z",0,"R",13,"R",13
134228,"R",25,"R",0,"R",25,"R",22,"R",23,"R",0,"R",0,"R",2,"R",21,"Z",0,"R",21,"R",19,"R",4,"Z",0,"R",4,"R",4,"R",0,"Z",0,"R",0,"R",0
134307,"R",275,"R",2,"R",273,"R",52,"R",68,"R",3,"Z",0,"R",202,"R",250,"R",0,"R",250,"R",63,"R",0,"R",0,"R",0,"R",0,"R",25,"R",2,"R",23,"R",5
134529,"R",102,"R",0,"R",102,"R",24,"R",74,"R",0,"R",0,"R",28,"R",95,"Z",0,"R",95,"R",69,"R",2,"Z",0,"R",2,"R",1,"R",5,"Z",0,"R",5,"R",4
134574,"R",45,"R",0,"R",45,"R",13,"R",33,"R",0,"R",0,"R",12,"R",30,"Z",0,"R",30,"R",26,"R",3,"Z",0,"R",3,"R",3,"R",12,"Z",0,"R",12,"R",4
134714,"R",49,"R",0,"R",49,"R",15,"R",32,"R",0,"R",0,"R",17,"R",30,"Z",0,"R",30,"R",16,"R",1,"Z",0,"R",1,"R",1,"R",18,"Z",0,"R",18,"R",15
135142,"R",57,"R",0,"R",57,"R",7,"R",50,"Z",0,"R",5,"R",2,"R",20,"Z",0,"R",20,"R",20,"R",1,"Z",0,"R",1,"R",0,"R",36,"Z",0,"R",36,"R",30
135179,"R",502,"R",0,"R",502,"R",321,"R",351,"R",0,"R",1,"R",150,"R",196,"Z",0,"R",196,"R",128,"R",0,"Z",0,"R",0,"R",0,"R",306,"Z",0,"R",306,"R",223
135276,"R",722,"R",2,"R",720,"R",273,"R",349,"R",1,"R",17,"R",353,"R",351,"R",0,"R",351,"R",153,"R",0,"R",0,"R",0,"R",0,"R",371,"R",2,"R",369,"R",196
135337,"R",46,"R",0,"R",46,"R",16,"R",27,"R",0,"R",0,"R",19,"R",30,"Z",0,"R",30,"R",16,"R",3,"Z",0,"R",3,"R",3,"R",13,"Z",0,"R",13,"R",8
135522,"R",242,"R",1,"R",241,"R",182,"R",202,"R",1,"R",0,"R",38,"R",179,"R",1,"R",178,"R",139,"R",0,"R",0,"R",0,"R",0,"R",63,"R",0,"R",63,"R",63
135559,"R",58,"Z",0,"R",58,"R",2,"R",42,"R",0,"R",0,"R",16,"R",49,"Z",0,"R",49,"R",33,"R",9,"Z",0,"R",9,"R",9,"R",0,"Z",0,"R",0,"R",0
136109,"R",37,"R",0,"R",37,"R",0,"R",27,"R",0,"R",0,"R",10,"R",18,"Z",0,"R",18,"R",11,"R",10,"Z",0,"R",10,"R",8,"R",9,"Z",0,"R",9,"R",8
136303,"R",176,"R",0,"R",176,"R",105,"R",112,"R",0,"R",0,"R",64,"R",76,"Z",0,"R",76,"R",55,"R",0,"Z",0,"R",0,"R",0,"R",100,"Z",0,"R",100,"R",57
136491,"R",202,"R",0,"R",202,"R",50,"R",87,"R",0,"R",2,"R",113,"R",103,"Z",0,"R",103,"R",50,"R",0,"Z",0,"R",0,"R",0,"R",99,"Z",0,"R",99,"R",37
136765,"R",321,"R",0,"R",321,"R",240,"R",240,"R",0,"R",30,"R",51,"R",240,"Z",0,"R",240,"R",240,"R",0,"Z",0,"R",0,"R",0,"R",81,"Z",0,"R",81,"R",0
137023,"R",249,"R",0,"R",249,"R",157,"R",188,"R",0,"R",9,"R",52,"R",106,"Z",0,"R",106,"R",64,"R",0,"Z",0,"R",0,"R",0,"R",143,"Z",0,"R",143,"R",124
137591,"R",219,"R",0,"R",219,"R",12,"R",53,"R",0,"R",113,"R",53,"R",129,"Z",0,"R",129,"R",34,"R",0,"Z",0,"R",0,"R",0,"R",90,"Z",0,"R",90,"R",19
137801,"R",224,"R",0,"R",224,"R",138,"R",158,"R",0,"R",0,"R",66,"R",179,"Z",0,"R",179,"R",121,"R",24,"Z",0,"R",24,"R",22,"R",21,"Z",0,"R",21,"R",15
137856,"R",41,"R",0,"R",41,"R",32,"R",32,"R",0,"R",0,"R",9,"R",18,"Z",0,"R",18,"R",14,"R",0,"Z",0,"R",0,"R",0,"R",23,"Z",0,"R",23,"R",18
137865,"R",160,"R",0,"R",160,"R",38,"R",65,"R",0,"R",2,"R",93,"R",106,"Z",0,"R",106,"R",38,"R",0,"Z",0,"R",0,"R",0,"R",54,"Z",0,"R",54,"R",27
138284,"R",317,"R",5,"R",312,"R",106,"R",106,"R",0,"R",100,"R",106,"R",95,"R",0,"R",95,"R",26,"R",0,"R",0,"R",0,"R",0,"R",222,"R",5,"R",217,"R",80
138822,"R",176,"R",0,"R",176,"R",34,"R",121,"R",0,"R",0,"R",55,"R",129,"Z",0,"R",129,"R",82,"R",27,"Z",0,"R",27,"R",23,"R",20,"Z",0,"R",20,"R",16
138938,"R",32,"R",0,"R",32,"R",7,"R",19,"R",0,"R",0,"R",13,"R",22,"Z",0,"R",22,"R",16,"R",4,"Z",0,"R",4,"R",3,"R",6,"Z",0,"R",6,"R",0
139506,"R",96,"R",0,"R",96,"R",37,"R",56,"R",0,"R",40,"R",0,"R",69,"Z",0,"R",69,"R",46,"R",20,"Z",0,"R",20,"R",10,"R",7,"Z",0,"R",7,"R",0
141608,"R",35,"R",1,"R",34,"R",13,"R",23,"R",0,"R",0,"R",11,"R",27,"R",0,"R",27,"R",19,"R",2,"R",0,"R",2,"R",2,"R",6,"R",1,"R",5,"R",2
142407,"R",29,"Z",0,"R",29,"R",9,"R",24,"Z",0,"Z",0,"R",5,"R",19,"Z",0,"R",19,"R",16,"R",3,"Z",0,"R",3,"R",3,"R",7,"Z",0,"R",7,"R",5
142489,"R",26,"R",0,"R",26,"R",8,"R",14,"R",0,"R",0,"R",12,"R",16,"Z",0,"R",16,"R",7,"R",0,"Z",0,"R",0,"R",0,"R",10,"Z",0,"R",10,"R",7
143376,"R",29,"R",0,"R",29,"R",0,"R",18,"Z",0,"Z",0,"R",11,"R",25,"Z",0,"R",25,"R",15,"R",4,"Z",0,"R",4,"R",3,"R",0,"Z",0,"R",0,"R",0
143464,"R",3,"R",0,"R",3,"R",0,"R",1,"R",0,"R",0,"R",2,"R",1,"Z",0,"R",1,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"R",1
143473,"R",6,"R",0,"R",6,"R",1,"R",5,"R",0,"R",1,"R",0,"R",5,"Z",0,"R",5,"R",4,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0
143482,"R",12,"R",0,"R",12,"R",1,"R",7,"R",0,"R",4,"R",1,"R",7,"Z",0,"R",7,"R",5,"R",3,"Z",0,"R",3,"R",0,"R",2,"Z",0,"R",2,"R",2
143491,"R",6,"R",0,"R",6,"R",1,"R",4,"R",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",6,"Z",0,"R",6,"R",4
143552,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0,"R",0,"R",3,"R",3,"Z",0,"R",3,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0
144573,"R",1,"R",0,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
144795,"R",216,"R",1,"R",215,"R",3,"R",104,"Z",0,"R",1,"R",110,"R",151,"R",0,"R",151,"R",73,"R",30,"R",0,"R",30,"R",17,"R",35,"R",1,"R",34,"R",14
145099,"R",250,"R",0,"R",250,"R",75,"R",185,"R",0,"R",13,"R",52,"R",140,"Z",0,"R",140,"R",130,"R",27,"Z",0,"R",27,"R",20,"R",83,"Z",0,"R",83,"R",35
145309,"R",16,"R",0,"R",16,"R",10,"R",12,"R",0,"R",1,"R",3,"R",10,"Z",0,"R",10,"R",9,"R",5,"Z",0,"R",5,"R",3,"R",1,"Z",0,"R",1,"R",0
145406,"R",62,"Z",0,"R",62,"R",8,"R",52,"Z",0,"Z",0,"R",10,"R",27,"Z",0,"R",27,"R",26,"R",21,"Z",0,"R",21,"R",19,"R",14,"Z",0,"R",14,"R",7
145424,"R",10,"R",0,"R",10,"R",0,"R",6,"R",0,"R",0,"R",4,"R",2,"Z",0,"R",2,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",8,"Z",0,"R",8,"R",6
145433,"R",19,"R",0,"R",19,"R",1,"R",9,"R",0,"R",2,"R",8,"R",8,"Z",0,"R",8,"R",3,"R",4,"Z",0,"R",4,"R",1,"R",7,"Z",0,"R",7,"R",5
146454,"R",22,"R",0,"R",22,"R",4,"R",13,"Z",0,"Z",0,"R",9,"R",3,"Z",0,"R",3,"R",0,"R",4,"Z",0,"R",4,"R",4,"R",15,"Z",0,"R",15,"R",9
146807,"R",11,"R",0,"R",11,"R",9,"R",9,"R",0,"Z",0,"R",2,"R",8,"Z",0,"R",8,"R",8,"R",1,"Z",0,"R",1,"R",1,"R",2,"Z",0,"R",2,"R",0
147642,"R",15,"R",0,"R",15,"R",8,"R",11,"R",0,"R",0,"R",4,"R",9,"Z",0,"R",9,"R",6,"R",1,"Z",0,"R",1,"R",1,"R",5,"Z",0,"R",5,"R",4
147819,"R",43,"R",0,"R",43,"R",13,"R",38,"R",0,"R",0,"R",5,"R",20,"Z",0,"R",20,"R",20,"R",8,"Z",0,"R",8,"R",8,"R",15,"Z",0,"R",15,"R",10
148098,"R",44,"R",0,"R",44,"R",3,"R",34,"R",2,"R",0,"R",8,"R",22,"Z",0,"R",22,"R",16,"R",4,"Z",0,"R",4,"R",4,"R",18,"Z",0,"R",18,"R",14
148955,"R",3,"R",0,"R",3,"R",0,"R",3,"R",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",3,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
149204,"R",38,"R",1,"R",37,"R",1,"R",26,"Z",0,"Z",0,"R",11,"R",33,"R",1,"R",32,"R",22,"R",4,"R",0,"R",4,"R",3,"R",1,"R",0,"R",1,"R",1
149550,"R",50,"Z",0,"R",50,"R",1,"R",38,"Z",0,"Z",0,"R",12,"R",39,"Z",0,"R",39,"R",30,"R",11,"Z",0,"R",11,"R",8,"R",0,"Z",0,"R",0,"R",0
150303,"R",11,"R",0,"R",11,"R",2,"R",6,"R",0,"R",0,"R",5,"R",10,"Z",0,"R",10,"R",5,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0
150428,"R",6,"R",0,"R",6,"R",6,"R",6,"R",0,"R",0,"R",0,"R",2,"Z",0,"R",2,"R",2,"R",3,"Z",0,"R",3,"R",3,"R",1,"Z",0,"R",1,"R",1
150765,"R",15,"R",0,"R",15,"R",1,"R",11,"R",0,"R",0,"R",4,"R",6,"Z",0,"R",6,"R",4,"R",1,"Z",0,"R",1,"R",1,"R",8,"Z",0,"R",8,"R",6
150853,"R",23,"R",0,"R",23,"R",5,"R",15,"R",0,"R",0,"R",8,"R",18,"Z",0,"R",18,"R",11,"R",1,"Z",0,"R",1,"R",1,"R",4,"Z",0,"R",4,"R",3
151564,"R",5,"R",0,"R",5,"R",0,"R",3,"R",0,"R",0,"R",2,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",5,"Z",0,"R",5,"R",3
151607,"R",15,"R",0,"R",15,"R",0,"R",7,"R",0,"R",0,"R",8,"R",13,"Z",0,"R",13,"R",5,"R",2,"Z",0,"R",2,"R",2,"R",0,"Z",0,"R",0,"R",0
152150,"R",15,"R",0,"R",15,"R",2,"R",7,"R",0,"R",0,"R",8,"R",12,"Z",0,"R",12,"R",5,"R",0,"Z",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",2
152275,"R",48,"R",0,"R",48,"R",0,"R",21,"R",0,"R",0,"R",27,"R",41,"Z",0,"R",41,"R",18,"R",0,"Z",0,"R",0,"R",0,"R",7,"Z",0,"R",7,"R",3
152309,"R",25,"R",0,"R",25,"R",3,"R",15,"R",0,"R",0,"R",10,"R",16,"Z",0,"R",16,"R",9,"R",4,"Z",0,"R",4,"R",3,"R",5,"Z",0,"R",5,"R",3
152628,"R",21,"R",0,"R",21,"R",11,"R",16,"R",1,"R",0,"R",4,"R",10,"Z",0,"R",10,"R",7,"R",3,"Z",0,"R",3,"R",3,"R",8,"Z",0,"R",8,"R",6
155159,"R",29,"R",0,"R",29,"R",0,"R",18,"R",0,"R",3,"R",8,"R",19,"Z",0,"R",19,"R",11,"R",6,"Z",0,"R",6,"R",5,"R",4,"Z",0,"R",4,"R",2
155353,"R",51,"R",0,"R",51,"R",2,"R",20,"R",0,"R",0,"R",31,"R",19,"Z",0,"R",19,"R",19,"R",1,"Z",0,"R",1,"R",1,"R",31,"Z",0,"R",31,"R",0
155423,"R",204,"R",0,"R",204,"R",117,"R",118,"R",0,"R",9,"R",77,"R",74,"Z",0,"R",74,"R",36,"R",15,"Z",0,"R",15,"R",11,"R",115,"Z",0,"R",115,"R",71
156310,"R",43,"R",0,"R",43,"R",0,"R",13,"R",0,"R",0,"R",30,"R",36,"Z",0,"R",36,"R",7,"R",7,"Z",0,"R",7,"R",6,"R",0,"Z",0,"R",0,"R",0
