UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
120698,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
120768,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",4
120838,"R",3,"R",6,"R",50,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
120865,"R",112,"R",257,"R",44,"R",88,"R",0,"R",0,"R",88,"R",66,"R",75,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",13
120883,"R",839,"R",1057,"R",79,"R",779,"Z",0,"Z",0,"R",779,"R",683,"R",88,"R",2,"Z",0,"Z",0,"R",2,"R",0,"R",0,"R",14
120953,"R",81,"R",1384,"R",6,"R",59,"R",0,"R",0,"R",59,"R",35,"R",59,"R",397,"R",0,"R",0,"R",397,"R",176,"R",44,"R",24
120971,"R",1795,"R",5623,"R",32,"R",1700,"R",0,"R",0,"R",1700,"R",1130,"R",66,"R",854,"R",0,"R",0,"R",854,"R",366,"R",43,"R",21
121044,"R",2732,"R",7533,"R",36,"R",2397,"R",0,"R",0,"R",2397,"R",1866,"R",78,"R",1330,"R",0,"R",0,"R",1330,"R",618,"R",46,"R",22
121150,"R",940,"R",1027,"R",92,"R",1023,"R",0,"R",0,"R",1023,"R",904,"R",88,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",13
121257,"R",309,"R",326,"R",95,"R",357,"R",0,"R",0,"R",357,"R",317,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
121275,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
121309,"R",689,"R",1016,"R",68,"R",662,"R",0,"Z",0,"R",662,"R",560,"R",85,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
121345,"R",412,"R",449,"R",92,"R",451,"R",0,"R",0,"R",451,"R",434,"R",96,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",7
121363,"R",348,"R",1562,"R",22,"R",330,"R",0,"R",0,"R",330,"R",225,"R",68,"R",219,"R",0,"R",0,"R",219,"R",64,"R",29,"R",24
121433,"A",,"A",,"A",,"R",21,"Z",0,"Z",0,"R",21,"R",17,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
121619,"R",1181,"R",6851,"R",17,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",31
121637,"A",,"A",,"A",,"R",23,"R",0,"R",0,"R",23,"R",16,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"R",29
121691,"R",507,"R",914,"R",55,"R",496,"R",0,"R",0,"R",496,"R",395,"R",80,"R",33,"R",0,"R",0,"R",33,"R",1,"R",3,"R",10
121707,"R",305,"R",1373,"R",22,"R",210,"R",0,"R",0,"R",210,"R",140,"R",67,"R",240,"R",0,"R",0,"R",240,"R",107,"R",45,"R",15
121859,"A",,"A",,"A",,"R",13,"Z",0,"Z",0,"R",13,"R",11,"R",85,"R",16,"Z",0,"Z",0,"R",16,"R",14,"R",88,"R",15
121868,"A",,"A",,"A",,"R",14,"Z",0,"Z",0,"R",14,"R",13,"R",93,"R",13,"Z",0,"Z",0,"R",13,"R",13,"R",100,"R",15
121886,"R",1335,"R",4881,"R",27,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",29
121901,"R",1892,"R",7163,"R",26,"R",1822,"R",0,"R",0,"R",1822,"R",1252,"R",69,"R",1446,"R",0,"R",0,"R",1446,"R",615,"R",43,"R",24
122117,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
122180,"R",1110,"R",6164,"R",18,"R",1070,"R",0,"R",0,"R",1070,"R",749,"R",70,"R",1770,"R",0,"R",0,"R",1770,"R",490,"R",28,"R",25
122205,"R",1301,"R",5217,"R",25,"R",1353,"R",0,"R",0,"R",1353,"R",996,"R",74,"R",1089,"R",0,"R",0,"R",1089,"R",482,"R",44,"R",24
122296,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
122339,"R",557,"R",5037,"R",11,"R",459,"R",0,"R",0,"R",459,"R",289,"R",63,"R",1009,"R",0,"R",0,"R",1009,"R",348,"R",34,"R",20
122375,"R",1043,"R",6803,"R",15,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",24
122384,"R",642,"R",5457,"R",12,"R",454,"R",0,"R",0,"R",454,"R",320,"R",70,"R",866,"R",0,"R",0,"R",866,"R",343,"R",40,"R",27
122409,"R",6529,"R",11230,"R",58,"R",5233,"Z",0,"Z",0,"R",5233,"R",4679,"R",89,"R",36,"Z",0,"Z",0,"R",36,"R",21,"R",58,"R",25
122436,"R",1234,"R",1602,"R",77,"R",1165,"R",1,"R",0,"R",1164,"R",1051,"R",90,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",13
