UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
138655,2 ,2,"R",3152,"R",0,"R",4,"R",165,"R",0,"R",27,"R",0,"R",3344,"R",4,"R",3348,"R",208,"R",32,"R",240,2,"A",,"A",,2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
138664,2 ,2,"R",487,"R",16,"R",4,"R",33,"R",0,"R",0,"R",0,"R",520,"R",20,"R",540,"R",126,"R",9,"R",135,2,"A",,"A",,2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
138682,1 ,2,"R",14665,"R",1194,"R",2,"R",113,"R",0,"R",25,"R",8,"R",14803,"R",1204,"R",16007,"R",432,"R",1132,"R",1564,1,"R",1,"R",1,1,"R",5.2,"R",1.5,"R",2.7,"R",0,"R",1,"R",0,"R",104663,2,"R",0,"R",3201,"R",8701,"R",0,"R",11902,"R",0,"R",806,"R",806,"R",117371,117371
138716,1 ,2,"R",309106,"R",742233,"R",252,"R",3290,"R",0,"R",173,"R",142,"R",312569,"R",742627,"R",1055196,"R",2134,"R",21782,"R",23916,1,"R",147,"R",109,1,"R",29,"R",6,"R",1,"R",6,"R",16,"R",1,"R",718406,1,"R",281849,"R",7333,"R",184816,"R",41713,"R",233862,"R",3574,"R",13666,"R",17240,"R",1251357,969508
138761,2 ,2,"R",39119,"R",400000,"R",235,"R",641,"R",250000,"R",61,"R",40000,"R",39821,"R",690235,"R",730056,"R",267,"R",187,"R",454,1,"R",0,"R",4,1,"R",5,"R",1,"R",1,"R",2,"R",1,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
138813,1 ,2,"R",24681,"R",282218,"R",73,"R",7265,"R",61654,"R",57,"R",26042,"R",32003,"R",369987,"R",401990,"R",567,"R",97276,"R",97843,1,"R",0,"R",0,1,"R",2,"R",1,"R",0,"R",0,"R",1,"R",0,"R",53526,1,"R",5329,"R",654,"R",98791,"R",0,"R",99445,"R",0,"R",0,"R",0,"R",158300,152971
138840,1 ,2,"R",12044,"R",11141,"R",232,"R",15,"R",8828,"R",45,"R",60058,"R",12104,"R",80259,"R",92363,"R",661,"R",7665,"R",8326,1,"R",6,"R",2,1,"R",4,"R",3,"R",1,"R",0,"R",0,"R",0,"R",186026,1,"R",35639,"R",0,"R",27319,"R",340,"R",27659,"R",1249,"R",0,"R",1249,"R",250573,214934
138868,1 ,2,"R",13596,"R",825513,"R",80,"R",20,"R",213011,"R",15,"R",67570,"R",13631,"R",1106174,"R",1119805,"R",127,"R",23773,"R",23900,1,"R",25,"R",85,1,"R",5,"R",1,"R",0,"R",0,"R",4,"R",0,"R",55927,2,"Z",0,"R",5621,"R",85133,"R",3066,"R",93820,"R",71,"R",1253,"R",1324,"R",151071,151071
138901,1 ,2,"R",50473,"R",424518,"R",224,"R",514,"R",43327,"R",3,"R",0,"R",50990,"R",468069,"R",519059,"R",308,"R",1621,"R",1929,1,"R",124,"R",11,1,"R",3,"R",2,"R",0,"R",1,"R",0,"R",0,"R",157951,1,"R",58530,"R",1118,"R",980,"R",0,"R",2098,"R",0,"R",27988,"R",27988,"R",246567,188037
138929,1 ,2,"R",4229,"R",30563,"R",7,"R",0,"R",0,"R",501,"R",4601,"R",4730,"R",35171,"R",39901,"R",134,"R",252,"R",386,1,"R",13,"R",14,1,"R",6,"R",4,"R",0,"R",1,"R",1,"R",0,"R",228344,2,"Z",0,"R",9366,"R",197343,"R",0,"R",206709,"R",0,"R",25113,"R",25113,"R",460166,460166
138947,1 ,2,"R",482642,"R",249977,"R",329,"R",5905,"R",4242823,"R",796,"R",219186,"R",489343,"R",4712315,"R",5201658,"R",3271,"R",229498,"R",232769,1,"R",2156,"R",1112,1,"R",94,"R",32,"R",21,"R",40,"R",1,"R",0,"R",4045870,1,"R",1472830,"R",277300,"R",2109915,"R",131961,"R",2519176,"R",2000,"R",5515354,"R",5517354,"R",13555230,12082400
138956,1 ,2,"R",45386,"R",591524,"R",250,"R",2637,"Z",0,"Z",0,"R",142352,"R",48023,"R",734126,"R",782149,"R",2412,"R",109538,"R",111950,1,"R",0,"R",0,1,"R",12,"R",3,"R",5,"R",4,"R",0,"R",2,"R",230421,2,"Z",0,"R",2500,"R",4700,"R",58200,"R",65400,"R",700,"R",10000,"R",10700,"R",306521,306521
