UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100858,"R",4112,"R",297608960,"R",50,"R",4830100,"R",208,"R",13923989,"R",194,"R",11970594,"R",591,"R",79430382,"R",449,"R",31440937,"R",643,"R",43261150,"R",688,"R",48482731,"R",38,"R",3979790,"R",329,"R",14334952,"R",1,"R",58100,"R",524,"R",23847410,"R",346,"R",19244152,"R",51,"R",2804673
100937,"R",168,"R",8774765,"Z",0,"Z",0,"Z",0,"Z",0,"R",18,"R",942697,"R",31,"R",2666605,"R",4,"R",234255,"R",7,"R",469380,"R",47,"R",1945643,"R",4,"R",185218,"R",17,"R",706269,"Z",0,"Z",0,"R",31,"R",1205924,"R",8,"R",389274,"R",1,"R",29500
101028,"R",67,"R",4183471,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",140070,"R",11,"R",1392482,"R",1,"R",120007,"R",1,"R",53972,"Z",0,"Z",0,"Z",0,"Z",0,"R",9,"R",355666,"Z",0,"Z",0,"R",41,"R",2074654,"R",1,"R",46620,"Z",0,"Z",0
101116,"R",22,"R",1399777,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",684789,"R",5,"R",454224,"R",1,"R",75000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",64480,"Z",0,"Z",0,"R",3,"R",121284,"Z",0,"Z",0,"Z",0,"Z",0
101143,"R",69,"R",4580793,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",122312,"R",8,"R",1014142,"R",6,"R",352687,"R",3,"R",233102,"R",4,"R",222273,"Z",0,"Z",0,"R",9,"R",424880,"Z",0,"Z",0,"R",37,"R",2211397,"Z",0,"Z",0,"Z",0,"Z",0
101161,"R",195,"R",12238835,"Z",0,"Z",0,"Z",0,"Z",0,"R",53,"R",3114674,"R",35,"R",3974356,"R",15,"R",927448,"R",6,"R",315811,"R",11,"R",592399,"Z",0,"Z",0,"R",27,"R",1175502,"Z",0,"Z",0,"R",46,"R",2042250,"R",2,"R",96395,"Z",0,"Z",0
101189,"R",179,"R",8612033,"Z",0,"Z",0,"Z",0,"Z",0,"R",40,"R",1806896,"R",25,"R",2400611,"R",4,"R",146450,"R",2,"R",82142,"R",59,"R",2617101,"Z",0,"Z",0,"R",11,"R",416146,"Z",0,"Z",0,"R",38,"R",1142687,"Z",0,"Z",0,"Z",0,"Z",0
101240,"R",210,"R",11936585,"Z",0,"Z",0,"Z",0,"Z",0,"R",16,"R",874805,"R",40,"R",3666265,"R",9,"R",538381,"R",12,"R",760580,"R",25,"R",1178904,"R",1,"R",43474,"R",32,"R",1251524,"Z",0,"Z",0,"R",58,"R",2762857,"R",17,"R",859795,"Z",0,"Z",0
101286,"R",130,"R",7884492,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"R",1565939,"R",19,"R",2195183,"R",4,"R",281006,"R",5,"R",290921,"R",5,"R",322884,"Z",0,"Z",0,"R",13,"R",628404,"Z",0,"Z",0,"R",51,"R",2352265,"R",2,"R",110041,"R",4,"R",137849
101295,"R",164,"R",9077306,"Z",0,"Z",0,"Z",0,"Z",0,"R",14,"R",659921,"R",26,"R",2550816,"R",6,"R",287076,"R",7,"R",430207,"R",2,"R",97442,"Z",0,"Z",0,"R",15,"R",645742,"Z",0,"Z",0,"R",79,"R",3612262,"R",15,"R",793840,"Z",0,"Z",0
101301,"R",85,"R",5039487,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",539923,"R",26,"R",2125983,"R",2,"R",125758,"R",1,"R",72962,"R",8,"R",469077,"Z",0,"Z",0,"R",6,"R",211489,"Z",0,"Z",0,"R",32,"R",1386352,"R",1,"R",56073,"R",1,"R",51870
101365,"R",18,"R",1101106,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",686204,"R",2,"R",237000,"Z",0,"Z",0,"R",1,"R",50398,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",127504,"Z",0,"Z",0,"Z",0,"Z",0
101435,"R",119,"R",6676626,"Z",0,"Z",0,"Z",0,"Z",0,"R",17,"R",712812,"R",18,"R",2072698,"R",1,"R",61214,"R",1,"R",64998,"R",55,"R",2459981,"R",1,"R",69992,"R",9,"R",415732,"R",2,"R",78208,"R",9,"R",419569,"R",6,"R",321422,"Z",0,"Z",0
101453,"R",28,"R",1365644,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",52211,"R",12,"R",774400,"R",1,"R",56100,"R",1,"R",39853,"R",5,"R",217744,"Z",0,"Z",0,"R",2,"R",42432,"Z",0,"Z",0,"R",6,"R",182904,"Z",0,"Z",0,"Z",0,"Z",0
101462,"R",44,"R",2816133,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",260895,"R",12,"R",1250326,"R",7,"R",450220,"R",4,"R",170720,"R",1,"R",41367,"Z",0,"Z",0,"R",3,"R",108365,"Z",0,"Z",0,"R",12,"R",534240,"Z",0,"Z",0,"Z",0,"Z",0
101471,"R",84,"R",5251022,"Z",0,"Z",0,"Z",0,"Z",0,"R",27,"R",882253,"R",17,"R",1882001,"R",7,"R",602688,"R",2,"R",166106,"R",5,"R",275099,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",1288315,"R",3,"R",154560,"Z",0,"Z",0
101480,"R",647,"R",34250325,"Z",0,"Z",0,"Z",0,"Z",0,"R",42,"R",1754847,"R",98,"R",9232800,"R",33,"R",1901764,"R",43,"R",2790889,"R",130,"R",8456443,"Z",0,"Z",0,"R",132,"R",3771856,"Z",0,"Z",0,"R",124,"R",4650808,"R",40,"R",1546275,"R",5,"R",144643
101505,"R",213,"R",13331228,"Z",0,"Z",0,"Z",0,"Z",0,"R",39,"R",2580698,"R",14,"R",1794659,"R",17,"R",1413155,"R",7,"R",493039,"R",16,"R",1147424,"Z",0,"Z",0,"R",29,"R",1194020,"Z",0,"Z",0,"R",85,"R",4384474,"R",6,"R",323759,"Z",0,"Z",0
