UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07   
150303,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1089802,"R",29728,"Z",0,"Z",0,"Z",0,"R",182892,"R",1302422,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",4582957,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",154047,"A",,"A",,"R",0,"R",4737004,"R",874794,"R",710546,"Z",0,"Z",0,"Z",0,"Z",0,"R",138771,"R",125808,"R",140734,"R",137707,"R",1644912,"R",302061,"A",,"A",,"Z",0,"A",,"A",,"R",0,"R",0,"R",2799211,"R",1276122,"R",11805,"R",1455497,"Z",0,"Z",0,"R",55787,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
150428,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",79606,"R",0,"R",0,"R",0,"R",0,"R",0,"R",79606,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",436100,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",56225,"A",,"A",,"R",2623,"R",494948,"R",119287,"R",119287,"R",0,"R",0,"R",0,"R",0,"R",47405,"R",0,"R",0,"R",0,"R",196894,"R",0,"A",,"A",,"R",34443,"A",,"A",,"R",0,"R",0,"R",398029,"R",119287,"R",0,"R",241651,"R",2648,"R",0,"R",34443,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
150765,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",388049,"R",0,"R",0,"R",0,"R",0,"R",0,"R",388049,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1125990,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",218,"R",174066,"A",,"A",,"R",388049,"R",1688323,"R",512980,"R",288369,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",291277,"R",196675,"Z",0,"Z",0,"A",,"A",,"Z",0,"A",,"A",,"R",439004,"R",0,"R",1243261,"R",485044,"R",79233,"R",215922,"R",24059,"R",0,"R",439003,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
150853,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",442741,"R",9763,"R",0,"R",0,"R",0,"R",0,"R",452504,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1979410,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",170895,"A",,"A",,"R",153473,"R",2303778,"R",807899,"R",807899,"R",0,"R",0,"R",0,"R",0,"R",276787,"R",0,"R",0,"R",0,"R",117818,"R",0,"A",,"A",,"R",0,"A",,"A",,"R",485414,"R",0,"R",1687918,"R",807899,"R",0,"R",33201,"R",0,"R",0,"R",846818,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
151467,"R",612861,"R",0,"R",0,"Z",0,"R",251372,"R",0,"R",361489,"R",612861,"R",0,"R",512071,"R",43532,"R",0,"R",0,"R",555603,"R",555603,"R",0,"R",5030202,"R",4810364,"R",0,"R",219838,"R",789,"R",140863,"R",-1,"R",361489,"R",859728,"R",806078,"R",585584,"R",585584,"R",0,"R",10496,"R",2261886,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",4279411,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",709134,"A",,"R",41657,"R",5030202,"R",2012221,"R",1123075,"R",0,"R",0,"R",0,"R",0,"R",494492,"R",235770,"R",827380,"R",516644,"R",180246,"R",82756,"R",777547,"R",44640,"R",0,"A",,"A",,"R",518478,"R",0,"R",4810364,"R",2002885,"R",274603,"R",769587,"R",2755,"R",0,"R",1760534,"A",,"A",,-2,"R",219838,"R",5030202,"R",361489,"R",612861,"R",361490,"R",0,"R",4810364
151564,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",178336,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",78063,"A",,"A",,"R",14072,"R",270471,"R",129394,"R",129394,"R",0,"R",0,"R",0,"R",0,"R",47847,"R",0,"R",0,"R",0,"R",75851,"R",0,"A",,"A",,"R",0,"A",,"A",,"R",20344,"R",0,"R",273436,"R",129394,"R",0,"R",21217,"R",8516,"R",6604,"R",107705,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
151607,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",397682,"R",7210,"R",0,"R",0,"R",0,"R",333116,"R",738008,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1362421,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",57021,"A",,"A",,"R",0,"R",1419442,"R",425116,"R",285477,"R",0,"R",0,"R",0,"R",0,"R",45814,"R",42408,"R",42474,"R",41980,"R",574695,"R",99192,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",1088099,"R",469057,"R",5476,"R",134163,"R",0,"R",0,"R",479403,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
151661,"R",295299000,"R",0,"R",23119000,"R",0,"R",153899000,"R",0,"R",141400000,"R",295299000,"R",645000,"R",88060000,"R",85441000,"R",1557000,"R",751000,"R",176454000,"R",153335000,"R",23119000,"C",335335917,"R",300618000,"R",0,"C",34717917,"R",-29181000,"C",103049083,"R",32814000,"R",141400000,"R",3147329,"R",1423809,"R",146044,"R",146044,"Z",0,"R",1002692,"R",5719874,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12745559,"R",4571138,"R",0,"R",4571138,"R",146044,"R",0,"R",146044,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",17462741,"R",4214320,"R",2053200,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4589479,"R",2102285,"R",3850634,"R",557676,"R",2620276,"R",0,"R",0,"A",,"A",,"R",906068,"R",0,"R",16180777,"R",4713161,"R",813579,"R",2620276,"R",906068,"R",0,"R",7127693,"R",548066,"R",893583, 2,"R",47246000,"C",335335917,"R",141400000,"R",295299000,"R",118281000,"R",0,"R",300618000
152044,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",204014,"R",0,"R",0,"R",0,"R",0,"R",0,"R",204014,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",204014,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",41106,"A",,"A",,"R",0,"R",245120,"R",186091,"R",186091,"R",0,"R",0,"R",0,"R",0,"R",57650,"R",0,"R",48106,"R",0,"R",173721,"R",0,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",465568,"R",186091,"R",1300,"R",173721,"R",0,"R",17152,"R",87304,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152150,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",172400,"R",6785,"R",0,"R",0,"R",0,"R",0,"R",179185,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",535392,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",60994,"A",,"A",,"R",39109,"R",635495,"R",224613,"R",224613,"R",0,"R",0,"R",0,"R",0,"R",116602,"R",0,"R",16796,"R",0,"R",38019,"R",0,"A",,"A",,"R",0,"A",,"A",,"R",154420,"R",0,"R",550450,"R",224613,"R",0,"R",16796,"R",0,"R",0,"R",309041,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
