UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100751,26, 26,"R",122,"R",122
100751,27, 27,"R",32,"R",32
100751,28, 28,"R",88,"R",88
100751,29, 29,"R",80,"R",80
100751,30, 30,"R",6,"R",5
100751,31, 31,"R",13,"R",13
100751,32, 32,"R",16,"R",16
100751,33, 33,"R",30,"R",30
100751,34, 34,"R",209,"R",207
100751,35, 35,"R",8,"R",7
100751,36, 36,"R",220,"R",218
100751,37, 37,"R",158,"R",156
100751,38, 38,"R",6,"R",6
100751,39, 39,"R",127,"R",126
100751,40, 40,"R",25,"R",25
100751,41, 41,"R",9,"R",9
100751,42, 42,"R",204,"R",204
100751,44, 44,"R",17,"R",16
100751,45, 45,"R",88,"R",86
100751,46, 46,"R",3,"R",3
100751,47, 47,"R",331,"R",328
100751,48, 48,"R",456,"R",452
100751,49, 49,"R",8,"R",8
100751,50, 50,"R",2,"R",2
100751,51, 51,"R",176,"R",175
100751,53, 53,"R",34,"R",34
100751,54, 54,"R",7,"R",7
100751,55, 55,"R",75,"R",75
100751,57, 57,"R",13,"R",13
100751,58,999,"R",7985,"R",7930
100751,72, 72,"R",3,"R",2
100751,78, 78,"R",1,"R",1
100751,89,999,"R",4,"R",3
100751,90, 90,"R",48,"R",25
100751,99, 99,"R",8037,"R",7958
100760, 1,  1,"R",328,"R",255
100760,12, 12,"R",1,"R",1
100760,13, 13,"R",4,"R",4
100760,19, 19,"R",1,"R",0
100760,21, 21,"R",1,"R",0
100760,36, 36,"R",2,"R",2
100760,39, 39,"R",1,"R",1
100760,42, 42,"R",2,"R",1
100760,48, 48,"R",1,"R",1
100760,58,999,"R",341,"R",265
100760,72, 72,"R",3,"R",3
100760,89,999,"R",3,"R",3
100760,98, 98,"R",5,"A",
100760,99, 99,"R",349,"R",268
100830, 1,  1,"R",407,"R",74
100830,58,999,"R",407,"R",74
100830,99, 99,"R",407,"R",74
100858, 1,  1,"R",3023,"R",2968
100858, 2,  2,"R",1,"R",1
100858, 4,  4,"R",14,"R",14
100858, 5,  5,"R",6,"R",6
100858, 6,  6,"R",47,"R",47
100858, 8,  8,"R",53,"R",51
100858, 9,  9,"R",10,"R",10
100858,10, 10,"R",3,"R",3
100858,11, 11,"R",2,"R",2
100858,12, 12,"R",268,"R",262
100858,13, 13,"R",684,"R",676
100858,15, 15,"R",1,"R",1
100858,16, 16,"R",2,"R",2
100858,17, 17,"R",64,"R",63
100858,18, 18,"R",16,"R",16
100858,19, 19,"R",1,"R",1
100858,20, 20,"R",4,"R",4
100858,21, 21,"R",31,"R",31
100858,22, 22,"R",52,"R",52
100858,23, 23,"R",1,"R",1
100858,24, 24,"R",44,"R",44
100858,25, 25,"R",12,"R",12
100858,26, 26,"R",12,"R",12
100858,27, 27,"R",8,"R",8
100858,28, 28,"R",16,"R",15
100858,29, 29,"R",30,"R",30
100858,30, 30,"R",1,"R",1
100858,31, 31,"R",2,"R",2
100858,32, 32,"R",3,"R",3
100858,33, 33,"R",4,"R",4
100858,34, 34,"R",36,"R",36
100858,36, 36,"R",25,"R",23
100858,37, 37,"R",121,"R",118
100858,38, 38,"R",1,"R",1
100858,39, 39,"R",39,"R",39
100858,40, 40,"R",3,"R",3
100858,41, 41,"R",3,"R",3
100858,42, 42,"R",45,"R",44
100858,44, 44,"R",2,"R",2
100858,45, 45,"R",56,"R",55
100858,47, 47,"R",205,"R",204
100858,48, 48,"R",179,"R",178
100858,49, 49,"R",2,"R",2
100858,50, 50,"R",1,"R",1
100858,51, 51,"R",60,"R",60
100858,53, 53,"R",6,"R",6
100858,54, 54,"R",2,"R",2
100858,55, 55,"R",9,"R",8
100858,58,999,"R",5210,"R",5127
100858,68, 68,"R",1,"R",1
100858,89,999,"R",1,"R",1
100858,98, 98,"R",92,"A",
100858,99, 99,"R",5303,"R",5128
100937, 1,  1,"R",134,"R",131
100937, 5,  5,"R",2,"R",2
100937, 6,  6,"R",2,"R",2
100937, 8,  8,"R",2,"R",2
100937,12, 12,"R",7,"R",7
100937,13, 13,"R",53,"R",53
100937,17, 17,"R",2,"R",1
100937,20, 20,"R",2,"R",1
100937,21, 21,"R",1,"R",1
100937,22, 22,"R",2,"R",2
100937,25, 25,"R",1,"R",1
100937,28, 28,"R",3,"R",3
100937,30, 30,"R",1,"R",1
100937,31, 31,"R",1,"R",1
100937,37, 37,"R",1,"R",1
100937,44, 44,"R",1,"R",1
100937,45, 45,"R",2,"R",2
100937,47, 47,"R",21,"R",20
100937,48, 48,"R",2,"R",1
100937,51, 51,"R",1,"R",1
100937,58,999,"R",241,"R",234
100937,90, 90,"R",3,"Z",0
100937,99, 99,"R",244,"R",234
101028, 1,  1,"R",183,"R",146
101028,13, 13,"R",40,"R",26
101028,22, 22,"R",1,"R",1
101028,58,999,"R",224,"R",173
101028,98, 98,"R",41,"A",
101028,99, 99,"R",265,"R",173
101116, 1,  1,"R",17,"Z",0
101116,58,999,"R",17,"Z",0
101116,99, 99,"R",17,"Z",0
101143, 1,  1,"R",426,"R",306
101143,12, 12,"R",15,"R",13
101143,13, 13,"R",6,"R",6
101143,15, 15,"R",1,"R",1
101143,28, 28,"R",2,"R",1
101143,39, 39,"R",1,"Z",0
101143,48, 48,"R",1,"R",1
101143,57, 57,"R",1,"R",1
101143,58,999,"R",453,"R",329
101143,98, 98,"R",9,"A",
101143,99, 99,"R",462,"R",329
101161, 1,  1,"R",1343,"R",1015
101161, 8,  8,"R",1,"Z",0
101161,12, 12,"R",65,"R",60
101161,13, 13,"R",16,"R",16
101161,17, 17,"R",1,"Z",0
101161,18, 18,"R",1,"Z",0
101161,20, 20,"R",1,"R",1
101161,21, 21,"R",3,"R",2
101161,22, 22,"R",15,"R",13
101161,25, 25,"R",1,"R",1
101161,28, 28,"R",8,"R",8
101161,29, 29,"R",1,"R",1
101161,33, 33,"R",1,"R",1
101161,34, 34,"R",1,"Z",0
101161,37, 37,"R",1,"R",1
101161,47, 47,"R",1,"Z",0
101161,48, 48,"R",4,"R",4
101161,58,999,"R",1464,"R",1123
101161,98, 98,"R",32,"A",
101161,99, 99,"R",1496,"R",1123
101189, 1,  1,"R",152,"R",127
101189, 5,  5,"R",1,"R",1
101189, 6,  6,"R",1,"R",1
101189,12, 12,"R",15,"R",15
101189,13, 13,"R",9,"R",9
101189,22, 22,"R",4,"R",3
101189,25, 25,"R",6,"R",0
101189,28, 28,"R",7,"R",6
101189,29, 29,"R",1,"R",1
101189,31, 31,"R",1,"R",1
101189,39, 39,"R",1,"R",1
101189,42, 42,"R",1,"R",0
101189,47, 47,"R",6,"R",6
101189,48, 48,"R",5,"R",5
101189,58,999,"R",210,"R",176
101189,90, 90,"R",13,"R",12
101189,98, 98,"R",2,"A",
101189,99, 99,"R",225,"R",188
101240, 1,  1,"R",942,"R",689
101240,13, 13,"R",6,"R",3
101240,22, 22,"R",1,"R",1
101240,42, 42,"R",1,"R",0
101240,47, 47,"R",2,"R",1
101240,57, 57,"R",2,"R",2
101240,58,999,"R",954,"R",696
101240,90, 90,"R",4,"R",0
101240,98, 98,"R",11,"A",
101240,99, 99,"R",969,"R",696
101277, 1,  1,"R",37,"R",3
