UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
152637,"R",23,"R",0,"R",23,"R",1,"R",4,"R",1,"R",4,"R",0,"R",23,"R",0,"R",1,"R",1,"R",4,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152673,"R",256,"R",2,"R",254,"R",182,"R",72,"R",190,"R",75,"R",0,"R",254,"R",0,"R",0,"R",190,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
152992,"R",206,"R",0,"R",206,"R",90,"R",44,"R",103,"R",50,"R",0,"R",206,"R",2,"R",0,"R",105,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153001,"R",201,"R",0,"R",201,"R",113,"R",56,"R",125,"R",62,"R",0,"R",201,"R",1,"R",0,"R",126,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153074,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",34,"R",0,"R",34,"R",5,"R",15,"R",29,"R",85,"Z",0,"R",34,"R",0,"Z",0,"R",29,"R",85
153083,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",38,"R",0,"R",38,"R",28,"R",74,"R",28,"R",74,"Z",0,"R",38,"R",0,"Z",0,"R",28,"R",74
153108,"R",429,"R",0,"R",429,"R",272,"R",63,"R",291,"R",68,"R",0,"R",429,"R",1,"R",0,"R",292,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153126,"R",183,"R",2,"R",181,"R",111,"R",61,"R",119,"R",66,"R",0,"R",181,"R",1,"R",0,"R",120,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153144,"R",376,"R",0,"R",376,"R",207,"R",55,"R",221,"R",59,"R",0,"R",376,"R",1,"R",0,"R",222,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153162,"R",262,"R",1,"R",261,"R",174,"R",67,"R",176,"R",67,"Z",0,"R",261,"R",0,"Z",0,"R",176,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153214,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1793,"R",0,"R",1793,"R",416,"R",23,"R",568,"R",32,"R",0,"R",1793,"R",101,"R",104,"R",669,"R",37
153241,"R",2,"R",0,"R",2,"R",1,"R",50,"R",1,"R",50,"Z",0,"R",2,"R",0,"Z",0,"R",1,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153250,"R",353,"R",0,"R",353,"R",214,"R",61,"R",231,"R",65,"Z",0,"R",353,"R",0,"Z",0,"R",231,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153269,"R",783,"R",0,"R",783,"R",543,"R",69,"R",600,"R",77,"R",0,"R",783,"R",7,"R",1,"R",607,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153278,"R",444,"R",2,"R",442,"R",160,"R",36,"R",202,"R",46,"R",0,"R",442,"R",7,"R",1,"R",209,"R",47,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153296,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",242,"R",0,"R",242,"R",66,"R",27,"R",87,"R",36,"R",2,"R",240,"R",6,"R",3,"R",93,"R",39
153302,"R",53,"R",0,"R",53,"R",22,"R",42,"R",28,"R",53,"R",0,"R",53,"R",1,"R",0,"R",29,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153311,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",409,"R",0,"R",409,"R",105,"R",26,"R",163,"R",40,"R",0,"R",409,"R",18,"R",32,"R",181,"R",44
153320,"R",60,"R",0,"R",60,"R",22,"R",37,"R",29,"R",48,"R",0,"R",60,"R",1,"R",0,"R",30,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153366,"R",282,"R",3,"R",279,"R",85,"R",30,"R",112,"R",40,"R",0,"R",279,"R",1,"R",2,"R",113,"R",41,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153375,"R",279,"R",0,"R",279,"R",124,"R",44,"R",155,"R",56,"R",0,"R",279,"R",1,"R",0,"R",156,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153384,"R",435,"R",0,"R",435,"R",351,"R",81,"R",377,"R",87,"R",0,"R",435,"R",3,"R",0,"R",380,"R",87,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153445,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",787,"R",0,"R",787,"R",199,"R",25,"R",224,"R",28,"Z",0,"R",787,"R",58,"R",37,"R",282,"R",36
153463,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",23,"R",0,"R",23,"R",13,"R",57,"R",17,"R",74,"R",0,"R",23,"R",0,"R",0,"R",17,"R",74
153472,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",788,"R",1,"R",787,"R",255,"R",32,"R",322,"R",41,"R",0,"R",787,"R",32,"R",8,"R",354,"R",45
153524,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1096,"R",1,"R",1095,"R",338,"R",31,"R",413,"R",38,"R",2,"R",1093,"R",20,"R",34,"R",433,"R",40
153533,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",362,"R",0,"R",362,"R",175,"R",48,"R",181,"R",50,"Z",0,"R",362,"R",3,"Z",0,"R",184,"R",51
153597,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",28,"R",0,"R",28,"R",2,"R",7,"R",18,"R",64,"Z",0,"R",28,"R",0,"Z",0,"R",18,"R",64
153603,"R",6016,"R",18,"R",5998,"R",2971,"R",50,"R",4482,"R",75,"R",0,"R",5998,"R",56,"R",17,"R",4538,"R",76,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153621,"R",78,"R",0,"R",78,"R",24,"R",31,"R",24,"R",31,"Z",0,"R",78,"R",0,"Z",0,"R",24,"R",31,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153630,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",862,"R",1,"R",861,"R",180,"R",21,"R",251,"R",29,"Z",0,"R",861,"R",11,"Z",0,"R",262,"R",30
153658,"R",4347,"R",0,"R",4347,"R",2329,"R",54,"R",3138,"R",72,"Z",0,"R",4347,"R",63,"R",29,"R",3201,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153737,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1988,"R",2,"R",1986,"R",513,"R",26,"R",727,"R",37,"R",1,"R",1985,"R",72,"R",85,"R",799,"R",40
153746,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6,"R",0,"R",6,"Z",0,"R",0,"R",1,"R",17,"Z",0,"R",6,"R",0,"Z",0,"R",1,"R",17
153764,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15,"R",0,"R",15,"R",1,"R",7,"R",8,"R",53,"Z",0,"R",15,"R",0,"Z",0,"R",8,"R",53
153773,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",39,"R",0,"R",39,"R",29,"R",74,"R",29,"R",74,"Z",0,"R",39,"R",0,"Z",0,"R",29,"R",74
153782,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",8,"R",0,"R",8,"Z",0,"R",0,"R",4,"R",50,"Z",0,"R",8,"R",0,"Z",0,"R",4,"R",50
153825,"R",373,"R",1,"R",372,"R",237,"R",64,"R",259,"R",70,"R",0,"R",372,"R",2,"R",0,"R",261,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153834,"R",559,"R",0,"R",559,"R",387,"R",69,"R",429,"R",77,"R",0,"R",559,"R",1,"R",0,"R",430,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153861,"R",21,"R",0,"R",21,"R",6,"R",29,"R",9,"R",43,"R",0,"R",21,"R",1,"R",0,"R",10,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
153922,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",251,"R",0,"R",251,"R",77,"R",31,"R",97,"R",39,"R",0,"R",251,"R",4,"R",6,"R",101,"R",40
153977,"R",13,"R",0,"R",13,"R",7,"R",54,"R",7,"R",54,"Z",0,"R",13,"R",0,"Z",0,"R",7,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154004,"R",353,"R",0,"R",353,"R",173,"R",49,"R",213,"R",60,"R",0,"R",353,"R",1,"R",0,"R",214,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154013,"R",134,"R",0,"R",134,"R",66,"R",49,"R",77,"R",57,"R",0,"R",134,"R",2,"R",0,"R",79,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154022,"R",2478,"R",0,"R",2478,"R",2,"R",0,"R",194,"R",8,"R",0,"R",2478,"R",24,"R",5,"R",218,"R",9,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154059,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",616,"R",0,"R",616,"R",284,"R",46,"R",337,"R",55,"R",0,"R",616,"R",38,"R",20,"R",375,"R",61
154095,"R",1762,"R",3,"R",1759,"R",715,"R",41,"R",1118,"R",64,"R",1,"R",1758,"R",30,"R",6,"R",1148,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154101,"R",315,"R",0,"R",315,"R",201,"R",64,"R",216,"R",69,"R",0,"R",315,"R",0,"R",0,"R",216,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154110,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",361,"R",0,"R",361,"R",126,"R",35,"R",170,"R",47,"R",1,"R",360,"R",18,"R",14,"R",188,"R",52
154129,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",240,"R",0,"R",240,"R",137,"R",57,"R",148,"R",62,"Z",0,"R",240,"R",11,"R",3,"R",159,"R",66
154208,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11,"R",0,"R",11,"Z",0,"R",0,"R",9,"R",82,"Z",0,"R",11,"R",0,"Z",0,"R",9,"R",82
154235,"R",522,"R",2,"R",520,"R",294,"R",57,"R",333,"R",64,"R",0,"R",520,"R",2,"R",1,"R",335,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154332,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",20,"R",0,"R",20,"R",1,"R",5,"R",14,"R",70,"Z",0,"R",20,"R",0,"Z",0,"R",14,"R",70
154350,"R",344,"R",0,"R",344,"R",223,"R",65,"R",244,"R",71,"R",0,"R",344,"R",2,"R",0,"R",246,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154378,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",431,"R",0,"R",431,"R",141,"R",33,"R",153,"R",35,"Z",0,"R",431,"R",25,"R",46,"R",178,"R",41
154396,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",260,"R",0,"R",260,"R",123,"R",47,"R",123,"R",47,"R",0,"R",260,"R",2,"R",1,"R",125,"R",48
154448,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",51,"R",0,"R",51,"R",3,"R",6,"R",39,"R",76,"Z",0,"R",51,"R",0,"Z",0,"R",39,"R",76
154457,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",16,"R",0,"R",16,"R",1,"R",6,"R",6,"R",38,"R",0,"R",16,"R",3,"R",0,"R",9,"R",56
154466,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",35,"R",0,"R",35,"Z",0,"R",0,"R",18,"R",51,"Z",0,"R",35,"R",0,"Z",0,"R",18,"R",51
154493,"R",331,"R",0,"R",331,"R",80,"R",24,"R",84,"R",25,"R",0,"R",331,"R",2,"R",0,"R",86,"R",26,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154518,"R",79,"R",0,"R",79,"R",36,"R",46,"R",40,"R",51,"R",0,"R",79,"R",13,"R",0,"R",53,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154527,"R",464,"R",0,"R",464,"R",299,"R",64,"R",317,"R",68,"Z",0,"R",464,"R",0,"Z",0,"R",317,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154545,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",26,"R",0,"R",26,"R",5,"R",19,"R",22,"R",85,"Z",0,"R",26,"R",0,"Z",0,"R",22,"R",85
154572,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",576,"R",0,"R",576,"R",192,"R",33,"R",217,"R",38,"R",0,"R",576,"R",40,"R",0,"R",257,"R",45
154590,"R",326,"R",0,"R",326,"R",76,"R",23,"R",113,"R",35,"Z",0,"R",326,"R",0,"Z",0,"R",113,"R",35,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154642,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",328,"R",0,"R",328,"R",83,"R",25,"R",126,"R",38,"Z",0,"R",328,"R",4,"R",1,"R",130,"R",40
154688,"R",224,"R",0,"R",224,"R",111,"R",50,"R",139,"R",62,"Z",0,"R",224,"R",0,"Z",0,"R",139,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154697,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",360,"R",0,"R",360,"R",141,"R",39,"R",159,"R",44,"R",0,"R",360,"R",14,"R",1,"R",173,"R",48
154712,"R",487,"R",1,"R",486,"R",253,"R",52,"R",316,"R",65,"R",0,"R",486,"R",3,"R",0,"R",319,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154721,"R",188,"R",0,"R",188,"R",3,"R",2,"R",9,"R",5,"Z",0,"R",188,"R",0,"Z",0,"R",9,"R",5,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154749,"R",110,"R",0,"R",110,"R",33,"R",30,"R",48,"R",44,"Z",0,"R",110,"R",0,"Z",0,"R",48,"R",44,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154800,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1217,"R",0,"R",1217,"R",233,"R",19,"R",379,"R",31,"R",0,"R",1217,"R",42,"R",2,"R",421,"R",35
154855,"R",347,"R",1,"R",346,"R",51,"R",15,"R",67,"R",19,"R",0,"R",346,"R",1,"R",0,"R",68,"R",20,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
154907,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",332,"R",1,"R",331,"R",137,"R",41,"R",154,"R",47,"R",1,"R",330,"R",31,"R",6,"R",185,"R",56
154925,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",506,"R",0,"R",506,"R",163,"R",32,"R",175,"R",35,"R",0,"R",506,"R",3,"R",0,"R",178,"R",35
154934,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",210,"R",0,"R",210,"R",96,"R",46,"R",107,"R",51,"R",0,"R",210,"R",2,"R",0,"R",109,"R",52
154952,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",552,"R",0,"R",552,"R",196,"R",36,"R",235,"R",43,"R",0,"R",552,"R",7,"R",4,"R",242,"R",44
154998,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",351,"R",0,"R",351,"R",76,"R",22,"R",106,"R",30,"R",0,"R",351,"R",15,"R",11,"R",121,"R",34
155025,"R",732,"R",0,"R",732,"R",194,"R",27,"R",339,"R",46,"Z",0,"R",732,"R",13,"R",1,"R",352,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155052,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",90,"R",0,"R",90,"R",22,"R",24,"R",60,"R",67,"R",0,"R",90,"R",2,"R",0,"R",62,"R",69
155061,"R",924,"R",2,"R",922,"R",233,"R",25,"R",420,"R",46,"R",0,"R",922,"R",8,"R",0,"R",428,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155070,"R",31,"R",0,"R",31,"R",5,"R",16,"R",11,"R",35,"Z",0,"R",31,"R",2,"R",1,"R",13,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155089,"R",181,"R",0,"R",181,"R",60,"R",33,"R",70,"R",39,"R",0,"R",181,"R",1,"R",0,"R",71,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155098,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",302,"R",0,"R",302,"R",70,"R",23,"R",83,"R",27,"R",0,"R",302,"R",4,"R",5,"R",87,"R",29
155104,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",437,"R",2,"R",435,"R",162,"R",37,"R",186,"R",43,"R",0,"R",435,"R",4,"R",1,"R",190,"R",44
155159,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",34,"R",0,"R",34,"R",2,"R",6,"R",23,"R",68,"R",0,"R",34,"R",0,"R",0,"R",23,"R",68
155186,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",429,"R",0,"R",429,"R",116,"R",27,"R",178,"R",41,"R",0,"R",429,"R",23,"R",2,"R",201,"R",47
155195,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",816,"R",2,"R",814,"R",297,"R",36,"R",357,"R",44,"R",1,"R",813,"R",19,"R",15,"R",376,"R",46
155201,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",223,"R",0,"R",223,"R",40,"R",18,"R",49,"R",22,"R",0,"R",223,"R",3,"R",0,"R",52,"R",23
155210,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1479,"R",0,"R",1479,"R",213,"R",14,"R",384,"R",26,"R",0,"R",1479,"R",60,"R",120,"R",444,"R",30
155292,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",570,"R",0,"R",570,"R",143,"R",25,"R",181,"R",32,"Z",0,"R",570,"R",15,"R",20,"R",196,"R",34
155317,"R",3977,"R",6,"R",3971,"R",1827,"R",46,"R",2506,"R",63,"R",2,"R",3969,"R",56,"R",19,"R",2562,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155335,"R",168,"R",0,"R",168,"R",64,"R",38,"R",79,"R",47,"R",0,"R",168,"R",4,"R",0,"R",83,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155353,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",57,"R",0,"R",57,"R",16,"R",28,"R",41,"R",72,"Z",0,"R",57,"R",0,"Z",0,"R",41,"R",72
155399,"R",3687,"R",0,"R",3687,"R",1488,"R",40,"R",2490,"R",68,"R",0,"R",3687,"R",70,"R",16,"R",2560,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155414,"R",142,"R",0,"R",142,"R",55,"R",39,"R",67,"R",47,"R",0,"R",142,"R",1,"R",0,"R",68,"R",48,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155423,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",221,"R",0,"R",221,"R",130,"R",59,"R",130,"R",59,"R",0,"R",221,"R",2,"R",5,"R",132,"R",60
155450,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",218,"R",0,"R",218,"R",38,"R",17,"R",53,"R",24,"R",0,"R",218,"R",10,"R",8,"R",63,"R",29
155487,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",61,"R",0,"R",61,"R",36,"R",59,"R",42,"R",69,"Z",0,"R",61,"R",0,"Z",0,"R",42,"R",69
155496,"R",57,"R",0,"R",57,"R",12,"R",21,"R",18,"R",32,"Z",0,"R",57,"R",1,"Z",0,"R",19,"R",33,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155511,"R",151,"R",1,"R",150,"R",47,"R",31,"R",57,"R",38,"R",0,"R",150,"R",1,"R",0,"R",58,"R",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155520,"R",182,"R",0,"R",182,"R",75,"R",41,"R",88,"R",48,"R",0,"R",182,"R",2,"R",1,"R",90,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155566,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",288,"R",0,"R",288,"R",73,"R",25,"R",95,"R",33,"R",0,"R",288,"R",8,"R",38,"R",103,"R",36
155593,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",165,"R",0,"R",165,"R",129,"R",78,"R",129,"R",78,"Z",0,"R",165,"R",0,"Z",0,"R",129,"R",78
155618,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",224,"R",1,"R",223,"R",117,"R",52,"R",117,"R",52,"Z",0,"R",223,"R",0,"Z",0,"R",117,"R",52
155627,"R",169,"R",0,"R",169,"R",46,"R",27,"R",62,"R",37,"R",0,"R",169,"R",1,"R",1,"R",63,"R",37,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155681,"R",1004,"R",0,"R",1004,"R",330,"R",33,"R",525,"R",52,"R",2,"R",1002,"R",22,"R",4,"R",547,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155715,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",254,"R",3,"R",251,"R",92,"R",37,"R",103,"R",41,"R",0,"R",251,"R",0,"R",1,"R",103,"R",41
155812,"R",107,"R",0,"R",107,"R",41,"R",38,"R",60,"R",56,"Z",0,"R",107,"R",0,"Z",0,"R",60,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
155830,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",77,"R",0,"R",77,"R",45,"R",58,"R",48,"R",62,"R",0,"R",77,"R",1,"R",0,"R",49,"R",64
155858,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",285,"R",0,"R",285,"R",105,"R",37,"R",143,"R",50,"R",0,"R",285,"R",5,"R",8,"R",148,"R",52
155900,"R",123,"R",0,"R",123,"R",38,"R",31,"R",47,"R",38,"Z",0,"R",123,"R",0,"Z",0,"R",47,"R",38,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
