UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
110486,"R",1402,"R",0,"R",1402,"R",207,"R",15,"R",649,"R",46,"R",0,"R",1402,"R",57,"R",24,"R",706,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110495,"R",1198,"R",0,"R",1198,"R",232,"R",19,"R",686,"R",57,"R",0,"R",1198,"R",55,"R",23,"R",741,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110510,"R",2654,"R",0,"R",2654,"R",495,"R",19,"R",1559,"R",59,"R",0,"R",2654,"R",121,"R",43,"R",1680,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110529,"R",3555,"R",0,"R",3555,"R",1055,"R",30,"R",2396,"R",67,"R",0,"R",3555,"R",175,"R",51,"R",2571,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110538,"R",2907,"R",0,"R",2907,"R",853,"R",29,"R",1894,"R",65,"R",0,"R",2907,"R",77,"R",17,"R",1971,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110547,"R",1286,"R",0,"R",1286,"R",149,"R",12,"R",611,"R",48,"R",0,"R",1286,"R",83,"R",23,"R",694,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110556,"R",3387,"R",0,"R",3387,"R",653,"R",19,"R",1949,"R",58,"R",0,"R",3387,"R",199,"R",49,"R",2148,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110565,"R",4243,"R",0,"R",4243,"R",1083,"R",26,"R",2914,"R",69,"R",0,"R",4243,"R",200,"R",39,"R",3114,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110574,"R",1431,"R",0,"R",1431,"R",238,"R",17,"R",669,"R",47,"R",0,"R",1431,"R",98,"R",21,"R",767,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110583,"R",4237,"R",0,"R",4237,"R",1208,"R",29,"R",3107,"R",73,"R",0,"R",4237,"R",135,"R",34,"R",3242,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110592,"R",3141,"R",0,"R",3141,"R",297,"R",9,"R",1646,"R",52,"R",0,"R",3141,"R",206,"R",55,"R",1852,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110608,"R",5450,"R",0,"R",5450,"R",808,"R",15,"R",2977,"R",55,"R",0,"R",5450,"R",291,"R",99,"R",3268,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110617,"R",3473,"R",0,"R",3473,"R",511,"R",15,"R",1861,"R",54,"R",0,"R",3473,"R",209,"R",51,"R",2070,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110635,"R",5431,"R",0,"R",5431,"R",4129,"R",76,"R",5015,"R",92,"R",0,"R",5431,"R",71,"R",21,"R",5086,"R",94,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110644,"R",5353,"R",2,"R",5351,"R",3408,"R",64,"R",4615,"R",86,"R",0,"R",5351,"R",82,"R",15,"R",4697,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110653,"R",5424,"R",4,"R",5420,"R",3730,"R",69,"R",4606,"R",85,"R",2,"R",5418,"R",39,"R",10,"R",4645,"R",86,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110662,"R",5753,"R",4,"R",5749,"R",4647,"R",81,"R",5248,"R",91,"R",0,"R",5749,"R",63,"R",15,"R",5311,"R",92,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110671,"R",4272,"R",1,"R",4271,"R",2666,"R",62,"R",3301,"R",77,"R",0,"R",4271,"R",63,"R",11,"R",3364,"R",79,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110680,"R",4913,"R",0,"R",4913,"R",3352,"R",68,"R",4280,"R",87,"R",0,"R",4913,"R",74,"R",25,"R",4354,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110705,"R",4725,"R",0,"R",4725,"R",3265,"R",69,"R",3968,"R",84,"Z",0,"R",4725,"R",50,"R",8,"R",4018,"R",85,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110714,"R",4019,"R",11,"R",4008,"R",2204,"R",55,"R",3028,"R",76,"R",0,"R",4008,"R",53,"R",11,"R",3081,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110875,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",36,"R",0,"R",36,"R",26,"R",72,"R",29,"R",81,"Z",0,"R",36,"R",0,"Z",0,"R",29,"R",81
111054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",36,"R",0,"R",36,"R",5,"R",14,"R",30,"R",83,"Z",0,"R",36,"R",0,"Z",0,"R",30,"R",83
111081,"R",188,"R",0,"R",188,"R",105,"R",56,"R",125,"R",66,"Z",0,"R",188,"R",2,"R",1,"R",127,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111188,"R",206,"R",0,"R",206,"R",99,"R",48,"R",125,"R",61,"R",0,"R",206,"R",1,"R",0,"R",126,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",312,"R",0,"R",312,"R",48,"R",15,"R",110,"R",35,"R",0,"R",312,"R",19,"R",20,"R",129,"R",41
111461,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1485,"R",0,"R",1485,"R",320,"R",22,"R",623,"R",42,"R",0,"R",1485,"R",104,"R",121,"R",727,"R",49
111513,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",43,"R",0,"R",43,"R",33,"R",77,"R",33,"R",77,"R",0,"R",43,"R",1,"R",0,"R",34,"R",79
111708,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",120,"R",0,"R",120,"R",0,"R",0,"R",73,"R",61,"R",0,"R",120,"R",4,"R",0,"R",77,"R",64
111717,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",161,"R",0,"R",161,"R",5,"R",3,"R",116,"R",72,"R",0,"R",161,"R",25,"R",0,"R",141,"R",88
111726,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",168,"R",0,"R",168,"R",0,"R",0,"R",145,"R",86,"Z",0,"R",168,"R",3,"R",0,"R",148,"R",88
111744,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",104,"R",0,"R",104,"R",1,"R",1,"R",74,"R",71,"R",0,"R",104,"R",4,"R",0,"R",78,"R",75
111762,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",82,"R",0,"R",82,"R",1,"R",1,"R",60,"R",73,"R",0,"R",82,"R",7,"Z",0,"R",67,"R",82
111799,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",130,"R",0,"R",130,"R",0,"R",0,"R",85,"R",65,"R",0,"R",130,"R",16,"Z",0,"R",101,"R",78
111887,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1811,"R",0,"R",1811,"R",276,"R",15,"R",602,"R",33,"R",0,"R",1811,"R",123,"R",195,"R",725,"R",40
111896,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",217,"R",0,"R",217,"R",31,"R",14,"R",58,"R",27,"R",0,"R",217,"R",12,"R",10,"R",70,"R",32
111920,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",984,"R",0,"R",984,"R",178,"R",18,"R",357,"R",36,"R",0,"R",984,"R",68,"R",80,"R",425,"R",43
111939,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1700,"R",0,"R",1700,"R",178,"R",10,"R",475,"R",28,"R",0,"R",1700,"R",116,"R",171,"R",591,"R",35
111948,"R",1418,"R",2,"R",1416,"R",1033,"R",73,"R",1132,"R",80,"R",0,"R",1416,"R",14,"R",1,"R",1146,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111966,"R",1,"R",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",1,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112075,"R",352,"R",0,"R",352,"R",167,"R",47,"R",208,"R",59,"R",0,"R",352,"R",2,"R",0,"R",210,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112084,"R",98,"R",0,"R",98,"R",36,"R",37,"R",47,"R",48,"R",0,"R",98,"R",2,"R",0,"R",49,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112172,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1482,"R",0,"R",1482,"R",338,"R",23,"R",600,"R",40,"R",0,"R",1482,"R",65,"R",95,"R",665,"R",45
112181,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",111,"R",0,"R",111,"R",18,"R",16,"R",95,"R",86,"R",0,"R",111,"R",5,"R",1,"R",100,"R",90
112190,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1345,"R",0,"R",1345,"R",283,"R",21,"R",497,"R",37,"R",0,"R",1345,"R",100,"R",25,"R",597,"R",44
112260,"R",327,"R",3,"R",324,"R",264,"R",81,"R",299,"R",92,"R",0,"R",324,"R",1,"R",0,"R",300,"R",93,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112288,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",345,"R",0,"R",345,"R",44,"R",13,"R",184,"R",53,"Z",0,"R",345,"R",18,"Z",0,"R",202,"R",59
112367,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",391,"R",0,"R",391,"R",295,"R",75,"R",351,"R",90,"Z",0,"R",391,"R",0,"Z",0,"R",351,"R",90
112385,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",157,"R",0,"R",157,"R",15,"R",10,"R",39,"R",25,"R",0,"R",157,"R",9,"R",6,"R",48,"R",31
112394,"R",140,"R",0,"R",140,"R",31,"R",22,"R",63,"R",45,"R",0,"R",140,"R",2,"R",2,"R",65,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112455,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",56,"R",1,"R",55,"R",4,"R",7,"R",35,"R",64,"R",0,"R",55,"R",0,"R",0,"R",35,"R",64
112561,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",222,"R",0,"R",222,"R",49,"R",22,"R",85,"R",38,"R",0,"R",222,"R",4,"R",10,"R",89,"R",40
